t dR dRw
1 0.823529 3.33333
2 0.857143 3
3 1.16667 4.33333
4 1.15789 3.45455
5 0.692308 3.83333
6 2.4 3.75
7 0.909091 0.461538
8 1.57895 0.428571
9 1 0.571429
10 1.42857 3.53846
11 0.571429 0.368421
12 0.820513 3.89474
13 1.02857 3.88889
14 0.818182 4.2
15 1.33333 0.678571
16 0.97561 3.80952
17 1.19048 3.82609
18 0.875 0.509091
19 0.862745 3.92
20 1.07692 3.71429
21 1.21739 4
22 0.714286 0.451613
23 0.746269 4
24 0.888889 4
25 0.904762 0.515464
26 1.25843 0.66055
27 0.818182 4.03846
28 1.30952 3.91489
29 1.35556 3.92157
30 1 4.09231
31 1.03704 4
32 0.897638 0.513514
33 0.939597 0.531792
34 1.21986 0.609195
35 0.957055 3.95062
36 0.983425 4.02198
37 0.801887 0.473029
38 1.21547 3.93878
39 1.13208 4.01802
40 1.0535 4.01613
41 1.11111 0.552941
42 0.975439 4
43 1.00302 4.03614
44 1.0625 0.581152
45 0.95288 4.01058
46 0.989418 0.536585
47 0.843284 0.506579
48 1.1191 0.586271
49 0.940994 0.487614
50 1 4.11847
51 0.92469 0.489862
52 0.898707 0.468124
53 1.10727 4.05287
54 0.923707 0.444255
55 1.04321 4.06079
56 0.982592 4.06687
57 0.998605 0.543239
58 0.909807 0.530375
59 0.933231 4.06275
60 1.01412 4.05351
